CAMPAIGN_NAME,CAMPAIGN_TYPE,CAMPAIGN_DATE
Campaign G,NATIONAL,2/21/16
Campaign A,NATIONAL,2/11/16
Campaign A,NATIONAL,7/9/17
Campaign I,NATIONAL,6/30/16
Campaign A,NATIONAL,3/22/18
Campaign F,NATIONAL,3/12/17
Campaign B,NATIONAL,1/28/18
Campaign B,NATIONAL,4/24/16
Campaign G,NATIONAL,2/22/18
Campaign E,NATIONAL,5/10/18
Campaign B,NATIONAL,4/23/17
Campaign A,NATIONAL,4/14/16
Campaign C,NATIONAL,5/15/16
Campaign H,NATIONAL,1/12/18
Campaign C,NATIONAL,5/4/17
Campaign B,NATIONAL,1/29/17
Campaign J,NATIONAL,6/28/18
Campaign B,NATIONAL,2/1/16
Campaign A,NATIONAL,2/9/17
Campaign A,NATIONAL,10/12/17
Campaign D,NATIONAL,4/8/18
Campaign F,NATIONAL,3/11/18
Campaign B,NATIONAL,11/2/17
Campaign A,NATIONAL,2/8/18
Campaign H,NATIONAL,1/21/16
Campaign A,NATIONAL,4/13/17
Campaign G,NATIONAL,2/19/17
Campaign A,NATIONAL,10/16/16
Campaign H,NATIONAL,1/12/17
Campaign B,NATIONAL,4/19/18
Campaign B,NATIONAL,11/17/16
Campaign C,NATIONAL,4/29/18
Campaign D,NATIONAL,4/3/16
Campaign F,NATIONAL,3/13/16
Campaign E,NATIONAL,5/14/17
Campaign I,NATIONAL,6/18/17
Campaign A,NATIONAL,7/10/16
Campaign I,NATIONAL,6/7/18
Campaign E,NATIONAL,5/26/16
Campaign D,NATIONAL,4/2/17
