PRODUCT_ID,PRODUCT_DESC,Department_Cat,Section_Cat,Family_Cat,SubFamily_Cat,PROMO_MECHANIC,SUPPLIER_ID
1153208,PRODUCT_1153208,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,692
1153209,PRODUCT_1153209,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,692
1198937,PRODUCT_1198937,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,692
1235909,PRODUCT_1235909,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,692
1235910,PRODUCT_1235910,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,692
537267,PRODUCT_537267,Department A,SECTION B,FAMILY C,SUBFAMILY E,Straight Discount,38
1260687,PRODUCT_1260687,Department A,SECTION B,FAMILY C,SUBFAMILY E,null,34
273658,PRODUCT_273658,Department A,SECTION B,FAMILY C,SUBFAMILY F,null,38
652446,PRODUCT_652446,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
1210829,PRODUCT_1210829,Department A,SECTION B,FAMILY D,SUBFAMILY H,null,37
324389,PRODUCT_324389,Department B,SECTION C,FAMILY E,SUBFAMILY I,Straight Discount,6194
324394,PRODUCT_324394,Department B,SECTION C,FAMILY E,SUBFAMILY I,Straight Discount,6194
324395,PRODUCT_324395,Department B,SECTION C,FAMILY E,SUBFAMILY I,Straight Discount,210128
1215779,PRODUCT_1215779,Department B,SECTION C,FAMILY E,SUBFAMILY I,BTGT,4225
903475,PRODUCT_903475,Department B,SECTION C,FAMILY F,SUBFAMILY L,Straight Discount,874
1135518,PRODUCT_1135518,Department A,SECTION A,FAMILY B,SUBFAMILY C,BTGT,144
1223772,PRODUCT_1223772,Department A,SECTION B,FAMILY C,SUBFAMILY E,Multiple,34
988637,PRODUCT_988637,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
1270682,PRODUCT_1270682,Department B,SECTION C,FAMILY E,SUBFAMILY J,BTGT,261
1270712,PRODUCT_1270712,Department B,SECTION C,FAMILY F,SUBFAMILY L,BTGT,874
1271663,PRODUCT_1271663,Department A,SECTION A,FAMILY A,SUBFAMILY A,Multiple,6294
1271813,PRODUCT_1271813,Department A,SECTION B,FAMILY C,SUBFAMILY E,Straight Discount,38
1284199,PRODUCT_1284199,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
1284452,PRODUCT_1284452,Department B,SECTION C,FAMILY E,SUBFAMILY J,BTGT,261
751188,PRODUCT_751188,Department B,SECTION C,FAMILY F,SUBFAMILY L,Straight Discount,4225
803570,PRODUCT_803570,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
1301998,PRODUCT_1301998,Department A,SECTION B,FAMILY D,SUBFAMILY H,Straight Discount,182
1303812,PRODUCT_1303812,Department B,SECTION C,FAMILY F,SUBFAMILY L,BTGT,261
691542,PRODUCT_691542,Department A,SECTION A,FAMILY A,SUBFAMILY A,Straight Discount,646
1253016,PRODUCT_1253016,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,692
1334415,PRODUCT_1334415,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
662702,PRODUCT_662702,Department A,SECTION B,FAMILY D,SUBFAMILY H,Multiple,38
324389,PRODUCT_324389,Department B,SECTION C,FAMILY E,SUBFAMILY I,Multiple,6194
324395,PRODUCT_324395,Department B,SECTION C,FAMILY E,SUBFAMILY I,Multiple,6194
324394,PRODUCT_324394,Department B,SECTION C,FAMILY E,SUBFAMILY I,Multiple,6194
731718,PRODUCT_731718,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
1191447,PRODUCT_1191447,Department A,SECTION B,FAMILY C,SUBFAMILY E,Straight Discount,34
1190267,PRODUCT_1190267,Department A,SECTION B,FAMILY C,SUBFAMILY E,null,4343
1345511,PRODUCT_1345511,Department B,SECTION C,FAMILY E,SUBFAMILY I,Multiple,4225
1345539,PRODUCT_1345539,Department B,SECTION C,FAMILY F,SUBFAMILY L,BTGT,261
1354385,PRODUCT_1354385,Department A,SECTION A,FAMILY B,SUBFAMILY D,Multiple,692
1190267,PRODUCT_1190267,Department A,SECTION B,FAMILY C,SUBFAMILY E,Straight Discount,4343
1198500,PRODUCT_1198500,Department A,SECTION B,FAMILY D,SUBFAMILY H,Multiple,38
1356901,PRODUCT_1356901,Department B,SECTION C,FAMILY E,SUBFAMILY I,Straight Discount,874
1135056,PRODUCT_1135056,Department B,SECTION C,FAMILY F,SUBFAMILY L,BTGT,4225
1214853,PRODUCT_1214853,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,144
1214854,PRODUCT_1214854,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,144
1191447,PRODUCT_1191447,Department A,SECTION B,FAMILY C,SUBFAMILY E,null,34
1104530,PRODUCT_1104530,Department A,SECTION B,FAMILY D,SUBFAMILY H,Multiple,37
1373633,PRODUCT_1373633,Department B,SECTION C,FAMILY F,SUBFAMILY L,BTGT,874
934606,PRODUCT_934606,Department A,SECTION A,FAMILY A,SUBFAMILY B,Straight Discount,357
1256474,PRODUCT_1256474,Department A,SECTION B,FAMILY C,SUBFAMILY E,Straight Discount,38
24518,PRODUCT_24518,Department B,SECTION C,FAMILY E,SUBFAMILY J,Straight Discount,261
691542,PRODUCT_691542,Department A,SECTION A,FAMILY A,SUBFAMILY A,null,646
1443539,PRODUCT_1443539,Department A,SECTION A,FAMILY A,SUBFAMILY A,null,144
1305559,PRODUCT_1305559,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,144
1453224,PRODUCT_1453224,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,692
1486455,PRODUCT_1486455,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,6513
1224029,PRODUCT_1224029,Department B,SECTION C,FAMILY E,SUBFAMILY J,Straight Discount,261
1453224,PRODUCT_1453224,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,692
1497868,PRODUCT_1497868,Department A,SECTION B,FAMILY C,SUBFAMILY F,null,6513
1497651,PRODUCT_1497651,Department A,SECTION B,FAMILY D,SUBFAMILY H,null,39
1499029,PRODUCT_1499029,Department B,SECTION C,FAMILY E,SUBFAMILY I,BTGT,4225
1273116,PRODUCT_1273116,Department B,SECTION C,FAMILY E,SUBFAMILY J,null,261
1494025,PRODUCT_1494025,Department B,SECTION C,FAMILY F,SUBFAMILY K,null,261
1481984,PRODUCT_1481984,Department B,SECTION C,FAMILY F,SUBFAMILY L,null,9000
1499031,PRODUCT_1499031,Department B,SECTION C,FAMILY F,SUBFAMILY L,BTGT,874
1355603,PRODUCT_1355603,Department B,SECTION D,FAMILY H,SUBFAMILY O,null,666
1124303,PRODUCT_1124303,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,144
1124304,PRODUCT_1124304,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,144
1153208,PRODUCT_1153208,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,692
1198937,PRODUCT_1198937,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,692
1220501,PRODUCT_1220501,Department A,SECTION B,FAMILY C,SUBFAMILY E,null,34
1260687,PRODUCT_1260687,Department A,SECTION B,FAMILY C,SUBFAMILY E,Multiple,34
273658,PRODUCT_273658,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,38
1186017,PRODUCT_1186017,Department A,SECTION B,FAMILY C,SUBFAMILY F,null,367
307162,PRODUCT_307162,Department A,SECTION B,FAMILY D,SUBFAMILY H,null,37
853619,PRODUCT_853619,Department B,SECTION C,FAMILY F,SUBFAMILY L,null,233
1208295,PRODUCT_1208295,Department A,SECTION A,FAMILY A,SUBFAMILY B,Multiple,639
1214854,PRODUCT_1214854,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,144
1220501,PRODUCT_1220501,Department A,SECTION B,FAMILY C,SUBFAMILY E,BTGT,34
427152,PRODUCT_427152,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,570333
1114428,PRODUCT_1114428,Department A,SECTION A,FAMILY A,SUBFAMILY B,BOGO,357
1198936,PRODUCT_1198936,Department A,SECTION B,FAMILY C,SUBFAMILY E,null,52
1302951,PRODUCT_1302951,Department A,SECTION B,FAMILY C,SUBFAMILY F,BOGO,43
1191128,PRODUCT_1191128,Department A,SECTION B,FAMILY C,SUBFAMILY E,Multiple,4343
504956,PRODUCT_504956,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,38
1096456,PRODUCT_1096456,Department B,SECTION D,FAMILY G,SUBFAMILY M,null,270
1271970,PRODUCT_1271970,Department B,SECTION D,FAMILY G,SUBFAMILY M,null,666
370233,PRODUCT_370233,Department A,SECTION B,FAMILY C,SUBFAMILY E,Multiple,64
988639,PRODUCT_988639,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
903478,PRODUCT_903478,Department B,SECTION C,FAMILY F,SUBFAMILY L,null,874
1282266,PRODUCT_1282266,Department A,SECTION A,FAMILY A,SUBFAMILY B,null,639
1054184,PRODUCT_1054184,Department A,SECTION B,FAMILY C,SUBFAMILY F,null,38
1436678,PRODUCT_1436678,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
1194669,PRODUCT_1194669,Department A,SECTION B,FAMILY D,SUBFAMILY H,null,38
1388016,PRODUCT_1388016,Department B,SECTION C,FAMILY F,SUBFAMILY L,null,233
1222333,PRODUCT_1222333,Department B,SECTION D,FAMILY G,SUBFAMILY M,null,270
1437638,PRODUCT_1437638,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,692
1437639,PRODUCT_1437639,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,692
1194669,PRODUCT_1194669,Department A,SECTION B,FAMILY D,SUBFAMILY H,Multiple,38
1465484,PRODUCT_1465484,Department B,SECTION D,FAMILY G,SUBFAMILY M,null,270
1364453,PRODUCT_1364453,Department A,SECTION A,FAMILY A,SUBFAMILY A,Multiple,6294
1503676,PRODUCT_1503676,Department A,SECTION A,FAMILY A,SUBFAMILY A,null,166
1114428,PRODUCT_1114428,Department A,SECTION A,FAMILY A,SUBFAMILY B,Multiple,357
1493833,PRODUCT_1493833,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,144
370233,PRODUCT_370233,Department A,SECTION B,FAMILY C,SUBFAMILY E,null,64
1155014,PRODUCT_1155014,Department A,SECTION B,FAMILY C,SUBFAMILY E,null,38
1334415,PRODUCT_1334415,Department A,SECTION B,FAMILY C,SUBFAMILY F,null,52
1503516,PRODUCT_1503516,Department A,SECTION B,FAMILY C,SUBFAMILY F,null,6513
1403618,PRODUCT_1403618,Department A,SECTION B,FAMILY D,SUBFAMILY G,null,646
1503259,PRODUCT_1503259,Department A,SECTION B,FAMILY D,SUBFAMILY H,null,39
1493772,PRODUCT_1493772,Department B,SECTION D,FAMILY G,SUBFAMILY M,null,666
1046915,PRODUCT_1046915,Department B,SECTION D,FAMILY G,SUBFAMILY N,null,666
1274428,PRODUCT_1274428,Department A,SECTION A,FAMILY B,SUBFAMILY C,BTGT,692
479421,PRODUCT_479421,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
1096879,PRODUCT_1096879,Department A,SECTION B,FAMILY D,SUBFAMILY H,Multiple,37
1360243,PRODUCT_1360243,Department A,SECTION A,FAMILY A,SUBFAMILY A,Multiple,692
1360242,PRODUCT_1360242,Department A,SECTION A,FAMILY B,SUBFAMILY C,BTGT,692
1294195,PRODUCT_1294195,Department A,SECTION B,FAMILY C,SUBFAMILY E,Multiple,135
1181355,PRODUCT_1181355,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,38
66745,PRODUCT_66745,Department A,SECTION B,FAMILY D,SUBFAMILY H,Straight Discount,1138
376158,PRODUCT_376158,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,692
